Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-03-24,127.23,128.04,126.56,126.69,"32,541,815",0,1,127.23,128.04,126.56,126.69,"32,541,815"
2015-03-23,127.12,127.85,126.52,127.21,"36,623,038",0,1,127.12,127.85,126.52,127.21,"36,623,038"
2015-03-20,128.25,128.4,125.16,126.05,"63,593,513",0,1,128.25,128.4,125.16,126.05,"63,593,513"
2015-03-19,128.75,129.2451,127.4,127.49,"45,548,602",0,1,128.75,129.2451,127.4,127.49,"45,548,602"
2015-03-18,127,129.16,126.37,128.5,"64,540,472",0,1,127,129.16,126.37,128.5,"64,540,472"
2015-03-17,125.9,127.32,125.65,127.04,"50,636,898",0,1,125.9,127.32,125.65,127.04,"50,636,898"
2015-03-16,123.88,124.95,122.87,124.95,"35,251,701",0,1,123.88,124.95,122.87,124.95,"35,251,701"
2015-03-13,124.4,125.3951,122.58,123.54,"51,078,694",0,1,124.4,125.3951,122.58,123.54,"51,078,694"
2015-03-12,122.31,124.9,121.63,124.45,"47,607,224",0,1,122.31,124.9,121.63,124.45,"47,607,224"
2015-03-11,124.75,124.77,122.11,122.24,"68,938,974",0,1,124.75,124.77,122.11,122.24,"68,938,974"
2015-03-10,126.41,127.22,123.8,124.51,"68,856,582",0,1,126.41,127.22,123.8,124.51,"68,856,582"
2015-03-09,127.96,129.57,125.06,127.14,"88,528,487",0,1,127.96,129.57,125.06,127.14,"88,528,487"
2015-03-06,128.4,129.37,126.26,126.6,"72,842,060",0,1,128.4,129.37,126.26,126.6,"72,842,060"
2015-03-05,128.58,128.75,125.76,126.41,"56,517,146",0,1,128.58,128.75,125.76,126.41,"56,517,146"
2015-03-04,129.1,129.56,128.32,128.54,"31,588,480",0,1,129.1,129.56,128.32,128.54,"31,588,480"
2015-03-03,128.96,129.52,128.09,129.36,"37,749,900",0,1,128.96,129.52,128.09,129.36,"37,749,900"
2015-03-02,129.25,130.28,128.3,129.09,"48,042,680",0,1,129.25,130.28,128.3,129.09,"48,042,680"
2015-02-27,130,130.57,128.24,128.46,"61,931,350",0,1,130,130.57,128.24,128.46,"61,931,350"
2015-02-26,128.785,130.87,126.61,130.415,"91,171,830",0,1,128.785,130.87,126.61,130.415,"91,171,830"
2015-02-25,131.56,131.6,128.15,128.79,"74,555,120",0,1,131.56,131.6,128.15,128.79,"74,555,120"
2015-02-24,132.94,133.6,131.17,132.17,"69,109,410",0,1,132.94,133.6,131.17,132.17,"69,109,410"
2015-02-23,130,133,129.66,133,"70,461,036",0,1,130,133,129.66,133,"70,461,036"
2015-02-20,128.65,129.5,128.05,129.495,"48,539,041",0,1,128.65,129.5,128.05,129.495,"48,539,041"
2015-02-19,128.45,129.03,128.33,128.45,"37,259,620",0,1,128.45,129.03,128.33,128.45,"37,259,620"
2015-02-18,127.63,128.78,127.45,128.715,"44,203,759",0,1,127.63,128.78,127.45,128.715,"44,203,759"
2015-02-17,127.47,128.88,126.92,127.83,"62,983,309",0,1,127.47,128.88,126.92,127.83,"62,983,309"
2015-02-13,127.27,127.28,125.65,127.08,"53,743,292",0,1,127.27,127.28,125.65,127.08,"53,743,292"
2015-02-12,125.98,127.48,125.57,126.46,"73,460,039",0,1,125.98,127.48,125.57,126.46,"73,460,039"
2015-02-11,122.82,124.92,122.5,124.88,"72,874,723",0,1,122.82,124.92,122.5,124.88,"72,874,723"
2015-02-10,120.26,122.15,120.16,122.02,"61,714,967",0,1,120.26,122.15,120.16,122.02,"61,714,967"
2015-02-09,118.52,119.84,118.43,119.72,"37,832,052",0,1,118.52,119.84,118.43,119.72,"37,832,052"
2015-02-06,120.02,120.25,118.45,118.93,"43,633,660",0,1,120.02,120.25,118.45,118.93,"43,633,660"
2015-02-05,120.02,120.23,119.25,119.94,"42,197,110",0,1,120.02,120.23,119.25,119.94,"42,197,110"
2015-02-04,118.5,120.51,118.309,119.56,"69,975,180",0,1,118.5,120.51,118.309,119.56,"69,975,180"
2015-02-03,118.27,119.09,117.61,118.65,"51,683,284",0,1,118.27,119.09,117.61,118.65,"51,683,284"
2015-02-02,118.03,119.17,116.08,118.63,"62,347,947",0,1,118.03,119.17,116.08,118.63,"62,347,947"
2015-01-30,118.28,120,116.85,117.16,"83,532,038",0,1,118.28,120,116.85,117.16,"83,532,038"
2015-01-29,116.36,119.19,115.56,118.9,"83,985,866",0,1,116.36,119.19,115.56,118.9,"83,985,866"
2015-01-28,117.56,118.12,115.31,115.31,"146,420,662",0,1,117.56,118.12,115.31,115.31,"146,420,662"
2015-01-26,113.74,114.3626,112.8,113.1,"55,457,420",0,1,113.74,114.3626,112.8,113.1,"55,457,420"
2015-01-23,112.3,113.75,111.53,112.98,"46,420,020",0,1,112.3,113.75,111.53,112.98,"46,420,020"
2015-01-22,110.26,112.47,109.72,112.4,"53,717,440",0,1,110.26,112.47,109.72,112.4,"53,717,440"
2015-01-21,108.87,111.06,108.27,109.55,"48,302,775",0,1,108.87,111.06,108.27,109.55,"48,302,775"
2015-01-20,107.98,108.9667,106.5,108.72,"49,156,058",0,1,107.98,108.9667,106.5,108.72,"49,156,058"
2015-01-15,109.96,110.06,106.66,106.82,"59,735,341",0,1,109.96,110.06,106.66,106.82,"59,735,341"
2015-01-14,109,110.49,108.5,109.8,"48,486,405",0,1,109,110.49,108.5,109.8,"48,486,405"
2015-01-13,111.5,112.8,108.91,110.22,"66,879,468",0,1,111.5,112.8,108.91,110.22,"66,879,468"
